,title,genres
62,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
63,"Godfather, The (1972)",Crime|Drama
64,Rear Window (1954),Mystery|Thriller
65,Casablanca (1942),Drama|Romance
66,Reservoir Dogs (1992),Crime|Mystery|Thriller
67,Goodfellas (1990),Crime|Drama
68,"Matrix, The (1999)",Action|Sci-Fi|Thriller
69,Fight Club (1999),Action|Crime|Drama|Thriller
70,Memento (2000),Mystery|Thriller
71,"Departed, The (2006)",Crime|Drama|Thriller
72,"Shawshank Redemption, The (1994)",Crime|Drama
73,Casablanca (1942),Drama|Romance
74,"Streetcar Named Desire, A (1951)",Drama
75,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
76,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
77,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
78,Goodfellas (1990),Crime|Drama
79,"Godfather: Part II, The (1974)",Crime|Drama
80,American History X (1998),Crime|Drama
81,"Matrix, The (1999)",Action|Sci-Fi|Thriller
82,Fight Club (1999),Action|Crime|Drama|Thriller
83,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
84,Apocalypse Now (1979),Action|Drama|War
85,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
86,Goodfellas (1990),Crime|Drama
87,Alien (1979),Horror|Sci-Fi
88,Ran (1985),Drama|War
89,Psycho (1960),Crime|Horror
90,"Godfather: Part II, The (1974)",Crime|Drama
91,Full Metal Jacket (1987),Drama|War
92,Amadeus (1984),Drama
93,"Boot, Das (Boat, The) (1981)",Action|Drama|War
94,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
95,"Shining, The (1980)",Horror
96,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
97,"Shawshank Redemption, The (1994)",Crime|Drama
98,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
99,Fargo (1996),Comedy|Crime|Drama|Thriller
100,One Flew Over the Cuckoo's Nest (1975),Drama
101,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
102,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
103,Lawrence of Arabia (1962),Adventure|Drama|War
104,Apocalypse Now (1979),Action|Drama|War
105,Goodfellas (1990),Crime|Drama
106,"Godfather: Part II, The (1974)",Crime|Drama
107,Fight Club (1999),Action|Crime|Drama|Thriller
108,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
109,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
110,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
111,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
112,"Green Mile, The (1999)",Crime|Drama
113,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
114,Snatch (2000),Comedy|Crime|Thriller
115,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
116,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
117,"Departed, The (2006)",Crime|Drama|Thriller
118,Eastern Promises (2007),Crime|Drama|Thriller
119,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX
120,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
121,"Godfather, The (1972)",Crime|Drama
122,Rear Window (1954),Mystery|Thriller
123,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
124,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
125,Apocalypse Now (1979),Action|Drama|War
126,Goodfellas (1990),Crime|Drama
127,"Godfather: Part II, The (1974)",Crime|Drama
128,King of New York (1990),Crime|Thriller
129,American History X (1998),Crime|Drama
130,"Departed, The (2006)",Crime|Drama|Thriller
131,Up (2009),Adventure|Animation|Children|Drama
132,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
133,"Shawshank Redemption, The (1994)",Crime|Drama
134,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
135,"Godfather, The (1972)",Crime|Drama
136,Indiana Jones and the Last Crusade (1989),Action|Adventure
137,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
138,Boogie Nights (1997),Drama
139,American History X (1998),Crime|Drama
140,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
141,"Green Mile, The (1999)",Crime|Drama
142,Shaun of the Dead (2004),Comedy|Horror
143,In Bruges (2008),Comedy|Crime|Drama|Thriller
144,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
145,Rear Window (1954),Mystery|Thriller
146,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
147,One Flew Over the Cuckoo's Nest (1975),Drama
148,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
149,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
150,Lawrence of Arabia (1962),Adventure|Drama|War
151,Apocalypse Now (1979),Action|Drama|War
152,Goodfellas (1990),Crime|Drama
153,"Godfather: Part II, The (1974)",Crime|Drama
154,Office Space (1999),Comedy|Crime
155,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
156,Fargo (1996),Comedy|Crime|Drama|Thriller
157,Rear Window (1954),Mystery|Thriller
158,Casablanca (1942),Drama|Romance
159,Reservoir Dogs (1992),Crime|Mystery|Thriller
160,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
161,Lawrence of Arabia (1962),Adventure|Drama|War
162,Apocalypse Now (1979),Action|Drama|War
163,Goodfellas (1990),Crime|Drama
164,"Godfather: Part II, The (1974)",Crime|Drama
165,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
166,"Shining, The (1980)",Horror
167,Good Will Hunting (1997),Drama|Romance
168,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
169,"Fugitive, The (1993)",Thriller
170,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
171,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
172,Some Like It Hot (1959),Comedy|Crime
173,Casablanca (1942),Drama|Romance
174,"Maltese Falcon, The (1941)",Film-Noir|Mystery
175,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
176,Reservoir Dogs (1992),Crime|Mystery|Thriller
177,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
178,Goodfellas (1990),Crime|Drama
179,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
180,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
181,Lawrence of Arabia (1962),Adventure|Drama|War
182,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
183,"Godfather: Part II, The (1974)",Crime|Drama
184,Amadeus (1984),Drama
185,Rosemary's Baby (1968),Drama|Horror|Thriller
186,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
187,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
188,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
189,Shaun of the Dead (2004),Comedy|Horror
190,Kiss Kiss Bang Bang (2005),Comedy|Crime|Mystery|Thriller
191,"Departed, The (2006)",Crime|Drama|Thriller
192,Casablanca (1942),Drama|Romance
193,"Maltese Falcon, The (1941)",Film-Noir|Mystery
194,My Fair Lady (1964),Comedy|Drama|Musical|Romance
195,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
196,Citizen Kane (1941),Drama|Mystery
197,Notorious (1946),Film-Noir|Romance|Thriller
198,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
199,Lawrence of Arabia (1962),Adventure|Drama|War
200,Apocalypse Now (1979),Action|Drama|War
201,Amadeus (1984),Drama
202,Glory (1989),Drama|War
203,Rosemary's Baby (1968),Drama|Horror|Thriller
204,Hoop Dreams (1994),Documentary
205,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
206,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
207,Casablanca (1942),Drama|Romance
208,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
209,Lawrence of Arabia (1962),Adventure|Drama|War
210,On the Waterfront (1954),Crime|Drama
211,Double Indemnity (1944),Crime|Drama|Film-Noir
212,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
213,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
214,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
215,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
216,"Shawshank Redemption, The (1994)",Crime|Drama
217,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
218,Casablanca (1942),Drama|Romance
219,"Godfather: Part II, The (1974)",Crime|Drama
220,Full Metal Jacket (1987),Drama|War
221,Amadeus (1984),Drama
222,"Boot, Das (Boat, The) (1981)",Action|Drama|War
223,Glory (1989),Drama|War
224,"Graduate, The (1967)",Comedy|Drama|Romance
225,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
226,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
227,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
228,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
229,"Shawshank Redemption, The (1994)",Crime|Drama
230,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
231,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
232,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
233,Apocalypse Now (1979),Action|Drama|War
234,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
235,Goodfellas (1990),Crime|Drama
236,"Godfather: Part II, The (1974)",Crime|Drama
237,Full Metal Jacket (1987),Drama|War
238,Amadeus (1984),Drama
239,"Matrix, The (1999)",Action|Sci-Fi|Thriller
240,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
241,"Shawshank Redemption, The (1994)",Crime|Drama
242,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
243,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
244,Bonnie and Clyde (1967),Crime|Drama
245,Dial M for Murder (1954),Crime|Mystery|Thriller
246,Reservoir Dogs (1992),Crime|Mystery|Thriller
247,"Streetcar Named Desire, A (1951)",Drama
248,One Flew Over the Cuckoo's Nest (1975),Drama
249,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
250,Apocalypse Now (1979),Action|Drama|War
251,Goodfellas (1990),Crime|Drama
252,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
253,Schindler's List (1993),Drama|War
254,Terminator 2: Judgment Day (1991),Action|Sci-Fi
255,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
256,Fargo (1996),Comedy|Crime|Drama|Thriller
257,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
258,Rear Window (1954),Mystery|Thriller
259,Casablanca (1942),Drama|Romance
260,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
261,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
262,American History X (1998),Crime|Drama
263,Kiss Kiss Bang Bang (2005),Comedy|Crime|Mystery|Thriller
264,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
265,"Shawshank Redemption, The (1994)",Crime|Drama
266,Forrest Gump (1994),Comedy|Drama|Romance|War
267,Schindler's List (1993),Drama|War
268,American History X (1998),Crime|Drama
269,Fight Club (1999),Action|Crime|Drama|Thriller
270,"Green Mile, The (1999)",Crime|Drama
271,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
272,Snatch (2000),Comedy|Crime|Thriller
273,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
274,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
275,Captain Phillips (2013),Adventure|Drama|Thriller|IMAX
276,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
277,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
278,"Godfather, The (1972)",Crime|Drama
279,Rear Window (1954),Mystery|Thriller
280,His Girl Friday (1940),Comedy|Romance
281,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
282,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
283,Fight Club (1999),Action|Crime|Drama|Thriller
284,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
285,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
286,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
287,"Departed, The (2006)",Crime|Drama|Thriller
288,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
289,"Shawshank Redemption, The (1994)",Crime|Drama
290,"Godfather, The (1972)",Crime|Drama
291,Rear Window (1954),Mystery|Thriller
292,Dial M for Murder (1954),Crime|Mystery|Thriller
293,Reservoir Dogs (1992),Crime|Mystery|Thriller
294,"Streetcar Named Desire, A (1951)",Drama
295,Goodfellas (1990),Crime|Drama
296,"Godfather: Part II, The (1974)",Crime|Drama
297,American History X (1998),Crime|Drama
298,American Beauty (1999),Drama|Romance
299,Fight Club (1999),Action|Crime|Drama|Thriller
300,"Shawshank Redemption, The (1994)",Crime|Drama
301,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
302,"Godfather, The (1972)",Crime|Drama
303,One Flew Over the Cuckoo's Nest (1975),Drama
304,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
305,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
306,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
307,Apocalypse Now (1979),Action|Drama|War
308,Goodfellas (1990),Crime|Drama
309,"Godfather: Part II, The (1974)",Crime|Drama
310,Fight Club (1999),Action|Crime|Drama|Thriller
311,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
312,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
313,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
314,"Shawshank Redemption, The (1994)",Crime|Drama
315,"Godfather, The (1972)",Crime|Drama
316,Casablanca (1942),Drama|Romance
317,Reservoir Dogs (1992),Crime|Mystery|Thriller
318,Apocalypse Now (1979),Action|Drama|War
319,Goodfellas (1990),Crime|Drama
320,"Godfather: Part II, The (1974)",Crime|Drama
321,American History X (1998),Crime|Drama
322,Fight Club (1999),Action|Crime|Drama|Thriller
323,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
324,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
325,Rear Window (1954),Mystery|Thriller
326,One Flew Over the Cuckoo's Nest (1975),Drama
327,Lawrence of Arabia (1962),Adventure|Drama|War
328,Indiana Jones and the Last Crusade (1989),Action|Adventure
329,Run Lola Run (Lola rennt) (1998),Action|Crime
330,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
331,Amores Perros (Love's a Bitch) (2000),Drama|Thriller
332,Blow (2001),Crime|Drama
333,Scarface (1983),Action|Crime|Drama
334,Up (2009),Adventure|Animation|Children|Drama
335,Shutter Island (2010),Drama|Mystery|Thriller
336,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
337,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
338,Schindler's List (1993),Drama|War
339,Trainspotting (1996),Comedy|Crime|Drama
340,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
341,Cool Hand Luke (1967),Drama
342,"Matrix, The (1999)",Action|Sci-Fi|Thriller
343,Fight Club (1999),Action|Crime|Drama|Thriller
344,"Green Mile, The (1999)",Crime|Drama
345,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
346,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
347,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
348,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
349,Fargo (1996),Comedy|Crime|Drama|Thriller
350,Rear Window (1954),Mystery|Thriller
351,One Flew Over the Cuckoo's Nest (1975),Drama
352,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
353,Brazil (1985),Fantasy|Sci-Fi
354,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
355,12 Angry Men (1957),Drama
356,Lawrence of Arabia (1962),Adventure|Drama|War
357,Apocalypse Now (1979),Action|Drama|War
358,Goodfellas (1990),Crime|Drama
359,Fight Club (1999),Action|Crime|Drama|Thriller
360,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
361,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
362,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
363,"Godfather, The (1972)",Crime|Drama
364,One Flew Over the Cuckoo's Nest (1975),Drama
365,American Beauty (1999),Drama|Romance
366,Fight Club (1999),Action|Crime|Drama|Thriller
367,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
368,"Departed, The (2006)",Crime|Drama|Thriller
369,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
370,Inglourious Basterds (2009),Action|Drama|War
371,Nightcrawler (2014),Crime|Drama|Thriller
372,Forrest Gump (1994),Comedy|Drama|Romance|War
373,"Godfather, The (1972)",Crime|Drama
374,Reservoir Dogs (1992),Crime|Mystery|Thriller
375,One Flew Over the Cuckoo's Nest (1975),Drama
376,Apocalypse Now (1979),Action|Drama|War
377,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
378,Goodfellas (1990),Crime|Drama
379,"Godfather: Part II, The (1974)",Crime|Drama
380,Full Metal Jacket (1987),Drama|War
381,Amadeus (1984),Drama
382,Cool Hand Luke (1967),Drama
383,Fight Club (1999),Action|Crime|Drama|Thriller
384,Casablanca (1942),Drama|Romance
385,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
386,Reservoir Dogs (1992),Crime|Mystery|Thriller
387,12 Angry Men (1957),Drama
388,Lawrence of Arabia (1962),Adventure|Drama|War
389,Apocalypse Now (1979),Action|Drama|War
390,Alien (1979),Horror|Sci-Fi
391,Ran (1985),Drama|War
392,"Godfather: Part II, The (1974)",Crime|Drama
393,Full Metal Jacket (1987),Drama|War
394,Amadeus (1984),Drama
395,"Boot, Das (Boat, The) (1981)",Action|Drama|War
396,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
397,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
398,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
399,Fargo (1996),Comedy|Crime|Drama|Thriller
400,Trainspotting (1996),Comedy|Crime|Drama
401,"Godfather, The (1972)",Crime|Drama
402,Reservoir Dogs (1992),Crime|Mystery|Thriller
403,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
404,Office Space (1999),Comedy|Crime
405,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
406,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
407,"Departed, The (2006)",Crime|Drama|Thriller
408,Forrest Gump (1994),Comedy|Drama|Romance|War
409,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
410,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
411,Trainspotting (1996),Comedy|Crime|Drama
412,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
413,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
414,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
415,Apocalypse Now (1979),Action|Drama|War
416,Goodfellas (1990),Crime|Drama
417,"Godfather: Part II, The (1974)",Crime|Drama
418,American History X (1998),Crime|Drama
419,Fight Club (1999),Action|Crime|Drama|Thriller
420,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
421,Schindler's List (1993),Drama|War
422,"Godfather, The (1972)",Crime|Drama
423,Reservoir Dogs (1992),Crime|Mystery|Thriller
424,Office Space (1999),Comedy|Crime
425,Fight Club (1999),Action|Crime|Drama|Thriller
426,"Green Mile, The (1999)",Crime|Drama
427,Snatch (2000),Comedy|Crime|Thriller
428,Little Miss Sunshine (2006),Adventure|Comedy|Drama
429,"Departed, The (2006)",Crime|Drama|Thriller
430,In Bruges (2008),Comedy|Crime|Drama|Thriller
431,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama
432,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
433,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
434,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
435,Goodfellas (1990),Crime|Drama
436,"Godfather: Part II, The (1974)",Crime|Drama
437,"Matrix, The (1999)",Action|Sci-Fi|Thriller
438,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
439,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
440,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX
441,Thor: Ragnarok (2017),Action|Adventure|Sci-Fi
442,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi
443,Untitled Spider-Man Reboot (2017),Action|Adventure|Fantasy
444,Fargo (1996),Comedy|Crime|Drama|Thriller
445,Reservoir Dogs (1992),Crime|Mystery|Thriller
446,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
447,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
448,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
449,Apocalypse Now (1979),Action|Drama|War
450,Goodfellas (1990),Crime|Drama
451,"Godfather: Part II, The (1974)",Crime|Drama
452,Fight Club (1999),Action|Crime|Drama|Thriller
453,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
454,Ratatouille (2007),Animation|Children|Drama
455,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
456,"Shawshank Redemption, The (1994)",Crime|Drama
457,Forrest Gump (1994),Comedy|Drama|Romance|War
458,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
459,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
460,Trainspotting (1996),Comedy|Crime|Drama
461,Rear Window (1954),Mystery|Thriller
462,American History X (1998),Crime|Drama
463,Fight Club (1999),Action|Crime|Drama|Thriller
464,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
465,"Departed, The (2006)",Crime|Drama|Thriller
466,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
467,"Hurt Locker, The (2008)",Action|Drama|Thriller|War
468,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
469,Forrest Gump (1994),Comedy|Drama|Romance|War
470,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
471,Fargo (1996),Comedy|Crime|Drama|Thriller
472,Lone Star (1996),Drama|Mystery|Western
473,"Godfather, The (1972)",Crime|Drama
474,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
475,Vertigo (1958),Drama|Mystery|Romance|Thriller
476,Rear Window (1954),Mystery|Thriller
477,Casablanca (1942),Drama|Romance
478,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
479,Django Unchained (2012),Action|Drama|Western
480,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
481,"Shawshank Redemption, The (1994)",Crime|Drama
482,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
