,title,genres
164,"American President, The (1995)",Comedy|Drama|Romance
165,"Right Stuff, The (1983)",Drama
166,Gattaca (1997),Drama|Sci-Fi|Thriller
167,City Slickers (1991),Comedy|Western
168,Forrest Gump (1994),Comedy|Drama|Romance|War
169,"Jungle Book, The (1994)",Adventure|Children|Romance
170,Pinocchio (1940),Animation|Children|Fantasy|Musical
171,Children of the Corn IV: The Gathering (1996),Horror
172,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
173,"Rock, The (1996)",Action|Adventure|Thriller
174,Barb Wire (1996),Action|Sci-Fi
175,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
176,Face/Off (1997),Action|Crime|Drama|Thriller
177,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance
178,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
179,Ferris Bueller's Day Off (1986),Comedy
180,Judge Dredd (1995),Action|Crime|Sci-Fi
181,While You Were Sleeping (1995),Comedy|Romance
182,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
183,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
184,Half Nelson (2006),Drama
185,Reign Over Me (2007),Drama
186,Whiplash (2014),Drama
187,I Origins (2014),Drama|Sci-Fi
188,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
189,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
190,"Matrix, The (1999)",Action|Sci-Fi|Thriller
191,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
192,Saving Private Ryan (1998),Action|Drama|War
193,"Pursuit of Happyness, The (2006)",Drama
194,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
195,Logan (2017),Action|Sci-Fi
196,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
197,Lawrence of Arabia (1962),Adventure|Drama|War
198,Apocalypse Now (1979),Action|Drama|War
199,8 1/2 (8½) (1963),Drama|Fantasy
200,Harold and Maude (1971),Comedy|Drama|Romance
201,Bull Durham (1988),Comedy|Drama|Romance
202,Love and Death (1975),Comedy
203,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
204,The Count of Monte Cristo (2002),Action|Adventure|Drama|Thriller
205,"Kingdom, The (2007)",Action|Drama|Thriller
206,Brave (2012),Action|Adventure|Animation|Children
207,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX
208,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
209,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
210,Pink Floyd: The Wall (1982),Drama|Musical
211,"Red Violin, The (Violon rouge, Le) (1998)",Drama|Mystery
212,Sense and Sensibility (1995),Drama|Romance
213,"Shawshank Redemption, The (1994)",Crime|Drama
214,Forrest Gump (1994),Comedy|Drama|Romance|War
215,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
216,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
217,Snatch (2000),Comedy|Crime|Thriller
218,Layer Cake (2004),Crime|Drama|Thriller
219,"Departed, The (2006)",Crime|Drama|Thriller
220,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
221,Ace Ventura: Pet Detective (1994),Comedy
222,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
223,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
224,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
225,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
226,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
227,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
228,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
229,Miracle on 34th Street (1994),Drama
230,"Shawshank Redemption, The (1994)",Crime|Drama
231,Speed (1994),Action|Romance|Thriller
232,Richard III (1995),Drama|War
233,Taxi Driver (1976),Crime|Drama|Thriller
234,"Maltese Falcon, The (1941)",Film-Noir|Mystery
235,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
236,Schindler's List (1993),Drama|War
237,"Godfather, The (1972)",Crime|Drama
238,"Gods Must Be Crazy, The (1980)",Adventure|Comedy
239,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
240,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
241,"Shawshank Redemption, The (1994)",Crime|Drama
242,Butch Cassidy and the Sundance Kid (1969),Action|Western
243,Memento (2000),Mystery|Thriller
244,12 Angry Men (1957),Drama
245,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
246,Sherlock Holmes: A Game of Shadows (2011),Action|Adventure|Comedy|Crime|Mystery|Thriller
247,The Godfather Trilogy: 1972-1990 (1992),(no genres listed)
248,Monty Python's Life of Brian (1979),Comedy
249,Monty Python's And Now for Something Completely Different (1971),Comedy
250,Bowling for Columbine (2002),Documentary
251,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy
252,Legends of the Fall (1994),Drama|Romance|War|Western
253,"Shawshank Redemption, The (1994)",Crime|Drama
254,Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller
255,Punch-Drunk Love (2002),Comedy|Drama|Romance
256,"Green Mile, The (1999)",Crime|Drama
257,Into the Wild (2007),Action|Adventure|Drama
258,Shutter Island (2010),Drama|Mystery|Thriller
259,Interstellar (2014),Sci-Fi|IMAX
260,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller
261,"Bourne Identity, The (2002)",Action|Mystery|Thriller
262,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
263,Lost in Translation (2003),Comedy|Drama|Romance
264,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
265,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
266,Taxi (1998),Action|Comedy
267,Taxi 2 (2000),Action|Comedy
268,After the Sunset (2004),Action|Adventure|Comedy|Crime|Thriller
269,Knocked Up (2007),Comedy|Drama|Romance
270,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
271,Yes Man (2008),Comedy
272,Tommy Boy (1995),Comedy
273,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
274,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
275,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
276,"Godfather, The (1972)",Crime|Drama
277,Dead Poets Society (1989),Drama
278,Gandhi (1982),Drama
279,Sideways (2004),Comedy|Drama|Romance
280,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
281,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
282,Phenomenon (1996),Drama|Romance
283,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
284,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
285,"Shawshank Redemption, The (1994)",Crime|Drama
286,"Matrix, The (1999)",Action|Sci-Fi|Thriller
287,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
288,"Big Lebowski, The (1998)",Comedy|Crime
289,Saving Private Ryan (1998),Action|Drama|War
290,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
291,Zombieland (2009),Action|Comedy|Horror
292,Secrets & Lies (1996),Drama
293,Akira Kurosawa's Dreams (Dreams) (1990),Drama|Fantasy
294,"Passenger, The (Professione: reporter) (1975)",Drama
295,"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",Drama
296,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
297,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
298,For a Few Dollars More (Per qualche dollaro in più) (1965),Action|Drama|Thriller|Western
299,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
300,"Godfather, The (1972)",Crime|Drama
301,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
302,Goodfellas (1990),Crime|Drama
303,Saw (2004),Horror|Mystery|Thriller
304,Gladiator (2000),Action|Adventure|Drama
305,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX
306,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
307,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
308,Die Hard (1988),Action|Crime|Thriller
309,"Terminator, The (1984)",Action|Sci-Fi|Thriller
310,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
311,Airplane! (1980),Comedy
312,Paris Is Burning (1990),Documentary
313,Glory (1989),Drama|War
314,Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller
315,Run Lola Run (Lola rennt) (1998),Action|Crime
316,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
317,"Bourne Supremacy, The (2004)",Action|Crime|Thriller
318,Inside Man (2006),Crime|Drama|Thriller
319,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller
320,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
321,Stargate (1994),Action|Adventure|Sci-Fi
322,"Fugitive, The (1993)",Thriller
323,Terminator 2: Judgment Day (1991),Action|Sci-Fi
324,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
325,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
326,Gladiator (2000),Action|Adventure|Drama
327,Bad Boys II (2003),Action|Comedy|Crime|Thriller
328,"Shawshank Redemption, The (1994)",Crime|Drama
329,"Shining, The (1980)",Horror
330,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
331,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
332,Quiz Show (1994),Drama
333,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
334,All About Eve (1950),Drama
335,"Killing Fields, The (1984)",Drama|War
336,Schindler's List (1993),Drama|War
337,Ulee's Gold (1997),Drama
338,"Full Monty, The (1997)",Comedy|Drama
339,"Sweet Hereafter, The (1997)",Drama
340,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance
341,Coraline (2009),Animation|Fantasy|Thriller
342,"Imaginarium of Doctor Parnassus, The (2009)",Drama|Fantasy
343,"Amazing Spider-Man, The (2012)",Action|Adventure|Sci-Fi|IMAX
344,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
345,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
346,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
347,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy
348,"Shawshank Redemption, The (1994)",Crime|Drama
349,"Big Lebowski, The (1998)",Comedy|Crime
350,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller
351,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
352,On the Other Side of the Tracks (De l'autre côté du périph) (2012),Action|Comedy|Crime
353,Buzzard (2015),Comedy|Drama|Horror
354,Scooby-Doo! and the Loch Ness Monster (2004),Animation|Children|Comedy
355,Tom and Jerry: Shiver Me Whiskers (2006),Animation|Children|Comedy
356,Anne Frank Remembered (1995),Documentary
357,"Very Brady Sequel, A (1996)",Comedy
358,Sling Blade (1996),Drama
359,Hamlet (1996),Crime|Drama|Romance
360,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
361,Aliens (1986),Action|Adventure|Horror|Sci-Fi
362,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
363,Tremors (1990),Comedy|Horror|Sci-Fi
364,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
365,Matilda (1996),Children|Comedy|Fantasy
366,10 Things I Hate About You (1999),Comedy|Romance
367,300 (2007),Action|Fantasy|War|IMAX
368,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
369,Saving Private Ryan (1998),Action|Drama|War
370,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
371,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
372,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
373,Braveheart (1995),Action|Drama|War
374,"Shawshank Redemption, The (1994)",Crime|Drama
375,Dances with Wolves (1990),Adventure|Drama|Western
376,Leaving Las Vegas (1995),Drama|Romance
377,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
378,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
379,Amores Perros (Love's a Bitch) (2000),Drama|Thriller
380,Terminator 2: Judgment Day (1991),Action|Sci-Fi
381,Aliens (1986),Action|Adventure|Horror|Sci-Fi
382,"Commitments, The (1991)",Comedy|Drama|Musical
383,Thelma & Louise (1991),Adventure|Crime|Drama
384,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
385,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
386,Mission: Impossible II (2000),Action|Adventure|Thriller
387,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller
388,Ratatouille (2007),Animation|Children|Drama
389,Megamind (2010),Action|Animation|Children|Comedy|Sci-Fi|IMAX
390,The Imitation Game (2014),Drama|Thriller|War
391,Arrival (2016),Sci-Fi
392,Disclosure (1994),Drama|Thriller
393,Nobody's Fool (1994),Comedy|Drama|Romance
394,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
395,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
396,Top Gun (1986),Action|Romance
397,Terms of Endearment (1983),Comedy|Drama
398,Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy
399,"Officer and a Gentleman, An (1982)",Drama|Romance
400,"Sweet Hereafter, The (1997)",Drama
401,Happiness (1998),Comedy|Drama
402,Eyes Wide Shut (1999),Drama|Mystery|Thriller
403,Man on the Moon (1999),Comedy|Drama
404,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
405,Clerks (1994),Comedy
406,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
407,Forrest Gump (1994),Comedy|Drama|Romance|War
408,Casino (1995),Crime|Drama
409,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller
410,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
411,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
412,Four Weddings and a Funeral (1994),Comedy|Romance
413,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
414,Moulin Rouge (2001),Drama|Musical|Romance
415,Show Me Love (Fucking Åmål) (1998),Drama|Romance
416,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
417,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
418,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller
419,Radio Day (2008),Comedy
420,"Matrix, The (1999)",Action|Sci-Fi|Thriller
421,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
422,"Pursuit of Happyness, The (2006)",Drama
423,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller
424,Jumanji (1995),Adventure|Children|Fantasy
425,"American President, The (1995)",Comedy|Drama|Romance
426,Braveheart (1995),Action|Drama|War
427,"Birdcage, The (1996)",Comedy
428,Antonia's Line (Antonia) (1995),Comedy|Drama
429,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
430,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
431,Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001),Drama
432,Leaving Las Vegas (1995),Drama|Romance
433,Braveheart (1995),Action|Drama|War
434,Kids (1995),Drama
435,Natural Born Killers (1994),Action|Crime|Thriller
436,Cool Hand Luke (1967),Drama
437,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
438,Rivers and Tides (2001),Documentary
439,Play Time (a.k.a. Playtime) (1967),Comedy
440,Forgetting Sarah Marshall (2008),Comedy|Romance
441,Cop Out (2010),Action|Comedy|Crime
442,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime
443,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
444,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
445,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
446,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
447,Interstellar (2014),Sci-Fi|IMAX
448,"Piano, The (1993)",Drama|Romance
449,Roman Holiday (1953),Comedy|Drama|Romance
450,Pollyanna (1960),Children|Comedy|Drama
451,Shampoo (1975),Comedy|Drama|Romance
452,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
453,Spider-Man 3 (2007),Action|Adventure|Sci-Fi|Thriller|IMAX
454,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
455,Deathgasm (2015),Comedy|Horror
456,Terminator 2: Judgment Day (1991),Action|Sci-Fi
457,Apocalypse Now (1979),Action|Drama|War
458,Hercules (1997),Adventure|Animation|Children|Comedy|Musical
459,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
460,Blade Runner (1982),Action|Sci-Fi|Thriller
461,"Sound of Music, The (1965)",Musical|Romance
462,Jaws (1975),Action|Horror
463,"Mask of Zorro, The (1998)",Action|Comedy|Romance
464,Braveheart (1995),Action|Drama|War
465,"Man Without a Face, The (1993)",Drama
466,Schindler's List (1993),Drama|War
467,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
468,"Godfather, The (1972)",Crime|Drama
469,Goodfellas (1990),Crime|Drama
470,"Godfather: Part II, The (1974)",Crime|Drama
471,Rain Man (1988),Drama
472,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
473,"Green Mile, The (1999)",Crime|Drama
474,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
475,The Imitation Game (2014),Drama|Thriller|War
476,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
477,Fargo (1996),Comedy|Crime|Drama|Thriller
478,"Godfather, The (1972)",Crime|Drama
479,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
480,Heat (1995),Action|Crime|Thriller
481,Casino (1995),Crime|Drama
482,Mr. Holland's Opus (1995),Drama
